"prov.orig","prov.comp","temp","mean","se"
"IN","AB",5,-6.27812533253665,0.378335792024836
"IPU","AB",5,-6.81811446737054,0.297650059995141
"NB2","AB",5,-5.55564908485406,0.143855127692288
"ON","AB",5,-5.76294959307618,0.23341032667926
"QC","AB",5,-5.86521860094015,0.117700039463825
"IN","IN",5,-5.89241354227933,0.492542793370302
"IPU","IN",5,-8.64294422275886,0.799089208336753
"NB2","IN",5,-8.41336258068132,0.472151724757432
"ON","IN",5,-8.24114110975344,0.6543161047767
"QC","IN",5,-9.12572725368874,0.269717374657926
"IN","IPU",5,-7.89546131199371,0.551438690756347
"IPU","IPU",5,-5.43277833738182,0.323663216440184
"NB2","IPU",5,-6.45990058668535,0.286118484215483
"ON","IPU",5,-6.74439693850253,0.542657830025802
"QC","IPU",5,-7.13868051655314,0.213976498041904
"IN","NB2",5,-6.75451126890345,0.358032683059666
"IPU","NB2",5,-13.6166242003309,1.00895786065056
"NB2","NB2",5,-4.80029636724987,0.22562928771656
"ON","NB2",5,-7.19602686856462,0.208787606320295
"QC","NB2",5,-6.34820951895451,0.135315176020486
"IN","ON",5,-6.65946341528256,0.455866298307118
"IPU","ON",5,-16.1201350251393,1.78845667833085
"NB2","ON",5,-6.17394026881581,0.157596239520434
"ON","ON",5,-5.13424391748979,0.47197293525506
"QC","ON",5,-6.10760443415061,0.16302559588701
"IN","QC",5,-7.19339728986084,0.419320123516093
"IPU","QC",5,-16.3866078604503,1.5057801154766
"NB2","QC",5,-6.8829958443398,0.163661897542096
"ON","QC",5,-7.73567289305155,0.223803505743698
"QC","QC",5,-4.80913271419505,0.214049362714438
"AB","AB",10,-4.82646772257133,0.359453876416148
"IN","AB",10,-6.03705615819489,0.371721753818217
"IPU","AB",10,-6.12540679506108,0.260176418914773
"NB2","AB",10,-6.31686600134339,0.131171315070691
"ON","AB",10,-6.01284500420087,0.0951343790130305
"QC","AB",10,-5.80936173032578,0.0410605161865954
"AB","IN",10,-8.95441346891659,0.845460815225138
"IN","IN",10,-4.82273022986016,0.420609161959435
"IPU","IN",10,-5.02638033300507,0.491567476188272
"NB2","IN",10,-11.3977486537599,0.353965947169042
"ON","IN",10,-10.2639474718594,0.33214843008365
"QC","IN",10,-9.94437276910806,0.167904795369119
"AB","IPU",10,-8.34764234934388,0.58841621516558
"IN","IPU",10,-6.94386725682999,0.536434225446904
"IPU","IPU",10,-3.82090152673013,0.573477675095279
"NB2","IPU",10,-8.24633279892059,0.284792234148743
"ON","IPU",10,-6.91862099259918,0.316975500652103
"QC","IPU",10,-6.77601338645963,0.149696749064323
"AB","NB2",10,-6.57405686255122,0.347470622160555
"IN","NB2",10,-7.43070681490026,0.456258927137159
"IPU","NB2",10,-13.9488370427518,0.299600808176109
"NB2","NB2",10,-5.02696096978642,0.269507267181138
"ON","NB2",10,-6.28181392017644,0.111846743650734
"QC","NB2",10,-5.99032355280849,0.0607150102824429
"AB","ON",10,-7.04238966278962,0.391584597018886
"IN","ON",10,-8.04948088953146,0.52536441928192
"IPU","ON",10,-17.0877916437765,0.412825076798534
"NB2","ON",10,-6.67890414080993,0.227087840288378
"ON","ON",10,-4.34337082713124,0.183373267439866
"QC","ON",10,-6.15503560975875,0.080768663514601
"AB","QC",10,-7.75574266268438,0.464287649161286
"IN","QC",10,-7.80967561535821,0.518970209438732
"IPU","QC",10,-14.7821007987203,0.322446475065427
"NB2","QC",10,-6.52790561248918,0.215033008782924
"ON","QC",10,-6.49650012828585,0.130221534915786
"QC","QC",10,-3.68232580781322,0.0768055938027629
"AB","AB",15,-6.86794242769887,0.707140635822555
"IN","AB",15,-7.05970503948896,0.20286936981764
"IPU","AB",15,-8.60434984283808,0.205602559887343
"NB2","AB",15,-8.49765400291931,0.320699371554501
"ON","AB",15,-8.90485414260329,0.368220402616812
"QC","AB",15,-8.00631276723612,0.214683429312928
"AB","IN",15,-9.95966595058483,0.843260265001494
"IN","IN",15,-5.99568456139941,0.288066290683394
"IPU","IN",15,-7.75042718823577,0.251693155845874
"NB2","IN",15,-14.5806891168039,0.82123685353856
"ON","IN",15,-14.8827310814779,1.01808762537967
"QC","IN",15,-13.8123700909636,0.65913848673292
"AB","IPU",15,-16.04817831387,1.36485354762853
"IN","IPU",15,-9.31625286513687,0.821399101514989
"IPU","IPU",15,-6.0981915739178,0.316982597784766
"NB2","IPU",15,-12.2830996876142,0.808269255800516
"ON","IPU",15,-11.662783379753,1.18686469814447
"QC","IPU",15,-13.4289644975618,0.700068338808414
"AB","NB2",15,-12.2973364048778,0.412311042327906
"IN","NB2",15,-9.08766549135742,0.507486605763298
"IPU","NB2",15,-21.315863050928,0.631834557157505
"NB2","NB2",15,-6.74394020652698,0.572742153787779
"ON","NB2",15,-7.74051870875262,0.207930188660785
"QC","NB2",15,-8.16895663975687,0.208299001259227
"AB","ON",15,-13.7327199091521,0.50356905022867
"IN","ON",15,-10.8469681759194,0.648643745592934
"IPU","ON",15,-24.6536689403672,0.789418942035153
"NB2","ON",15,-9.46800655740096,0.732478244621095
"ON","ON",15,-6.29132099754787,0.371778669233954
"QC","ON",15,-9.72005634808451,0.31169250372963
"AB","QC",15,-12.2246725970177,0.478048790565853
"IN","QC",15,-9.28532467096469,0.568759349576691
"IPU","QC",15,-22.0139004213623,0.609114800177726
"NB2","QC",15,-8.34270412477525,0.561149427796258
"ON","QC",15,-8.02513031538589,0.272652659031758
"QC","QC",15,-5.71334332773054,0.266660434869943
"AB","AB",20,-8.36104306768097,3.21032570977247
"IN","AB",20,-5.84529023798816,0.0905944424506769
"IPU","AB",20,-5.65720664421728,0.032241568736816
"NB2","AB",20,-6.20497780736342,0.0906056186818465
"ON","AB",20,-5.87315536830597,0.0904347072759926
"QC","AB",20,-6.33251350432864,0.126539734230073
"AB","IN",20,-17.0852510258906,6.70022528665989
"IN","IN",20,-5.01563487338412,0.194572725670227
"IPU","IN",20,-5.17692278665701,0.164761114344457
"NB2","IN",20,-12.7432599140029,0.344287430884414
"ON","IN",20,-9.8116228693119,0.372850696935863
"QC","IN",20,-12.799946546439,0.408197103455685
"AB","IPU",20,-13.9340150335492,5.506167959867
"IN","IPU",20,-5.81985713973335,0.230518650688652
"IPU","IPU",20,-3.67308239751221,0.13348125612341
"NB2","IPU",20,-6.71717566863394,0.256804300830772
"ON","IPU",20,-5.9774779891335,0.275813485668509
"QC","IPU",20,-7.10749915018995,0.333492601794185
"AB","NB2",20,-9.0602475944363,2.4909631359325
"IN","NB2",20,-7.96043691524398,0.216241913101726
"IPU","NB2",20,-11.0618544497673,0.145854703210844
"NB2","NB2",20,-4.95547135313583,0.187252432498404
"ON","NB2",20,-7.51596723030986,0.159991051796045
"QC","NB2",20,-7.09607694359377,0.195277709260178
"AB","ON",20,-8.97965659143395,3.32450054649337
"IN","ON",20,-6.60379971646361,0.212493016340052
"IPU","ON",20,-9.00699098372969,0.130428509717847
"NB2","ON",20,-5.41015975071526,0.139630864675302
"ON","ON",20,-4.59513584085318,0.197788451142478
"QC","ON",20,-6.11361117738373,0.216043526422504
"AB","QC",20,-10.0678911103712,2.30292347439396
"IN","QC",20,-7.46366217208545,0.189616049519796
"IPU","QC",20,-10.6462639341507,0.144338357299252
"NB2","QC",20,-6.01603166796027,0.132305297525019
"ON","QC",20,-7.10341862300198,0.152592754359404
"QC","QC",20,-5.67922817085004,0.344671398877333
"AB","AB",25,-3.48840586584641,0.202018778558499
"IN","AB",25,-4.53709878455643,0.295343241574503
"IPU","AB",25,-4.08620296928459,0.151456148792004
"NB2","AB",25,-5.24767936106433,0.187090045458264
