"prov.orig","prov.comp","temp","cup","elpd"
"IN","AB",5,"1",-4.92170183397238
"IPU","AB",5,"1",-5.95604710340177
"NB2","AB",5,"1",-5.31361565881327
"ON","AB",5,"1",-4.61134254506927
"QC","AB",5,"1",-5.99010880282848
"IN","IN",5,"1",-3.70047391772096
"IPU","IN",5,"1",-11.1613745248947
"NB2","IN",5,"1",-5.05863743570935
"ON","IN",5,"1",-5.31436433092466
"QC","IN",5,"1",-13.6538428711982
"IN","IPU",5,"1",-4.77552478543944
"IPU","IPU",5,"1",-9.28647941375143
"NB2","IPU",5,"1",-4.24364736240992
"ON","IPU",5,"1",-4.24908487868132
"QC","IPU",5,"1",-7.98171607870663
"IN","NB2",5,"1",-5.65677637404246
"IPU","NB2",5,"1",-9.0232283984993
"NB2","NB2",5,"1",-5.25561395592835
"ON","NB2",5,"1",-6.22196295204347
"QC","NB2",5,"1",-4.70846975079218
"IN","ON",5,"1",-5.2869530947731
"IPU","ON",5,"1",-8.51290976337673
"NB2","ON",5,"1",-7.73446908574185
"ON","ON",5,"1",-3.00345327831243
"QC","ON",5,"1",-4.27177319472074
"IN","QC",5,"1",-6.09177529305723
"IPU","QC",5,"1",-9.54260276791125
"NB2","QC",5,"1",-9.1101568777706
"ON","QC",5,"1",-6.78748490543191
"QC","QC",5,"1",-4.7972462624973
"AB","AB",10,"1",-4.86506681010224
"IN","AB",10,"1",-5.3893829227247
"IPU","AB",10,"1",-5.59360177039457
"NB2","AB",10,"1",-16.5952773652531
"ON","AB",10,"1",-6.2416405343732
"QC","AB",10,"1",-5.5022113219971
"AB","IN",10,"1",-12.0872169408005
"IN","IN",10,"1",-3.94762631370601
"IPU","IN",10,"1",-5.12956333859824
"NB2","IN",10,"1",-26.9558771147417
"ON","IN",10,"1",-10.9523543311943
"QC","IN",10,"1",-8.97900748579301
"AB","IPU",10,"1",-11.6822293296487
"IN","IPU",10,"1",-5.79198926386718
"IPU","IPU",10,"1",-2.891417088747
"NB2","IPU",10,"1",-21.4265629373136
"ON","IPU",10,"1",-6.83303275630105
"QC","IPU",10,"1",-6.01715381046109
"AB","NB2",10,"1",-5.13213711986661
"IN","NB2",10,"1",-6.25861850074535
"IPU","NB2",10,"1",-12.1424227462202
"NB2","NB2",10,"1",-28.8850784696646
"ON","NB2",10,"1",-5.33566538838202
"QC","NB2",10,"1",-5.55431007448005
"AB","ON",10,"1",-5.498398127335
"IN","ON",10,"1",-6.45488092868262
"IPU","ON",10,"1",-13.5827165655321
"NB2","ON",10,"1",-25.483328424885
"ON","ON",10,"1",-3.63440518439054
"QC","ON",10,"1",-5.66891941257233
"AB","QC",10,"1",-5.77851286737478
"IN","QC",10,"1",-6.4462380661257
"IPU","QC",10,"1",-12.5183389679304
"NB2","QC",10,"1",-25.3629455355171
"ON","QC",10,"1",-5.51701240568215
"QC","QC",10,"1",-2.79472705177218
"AB","AB",15,"1",-5.70411508382478
"IN","AB",15,"1",-7.61541538533379
"IPU","AB",15,"1",-6.87871878818158
"NB2","AB",15,"1",-6.92258629688343
"ON","AB",15,"1",-7.75669188751383
"QC","AB",15,"1",-6.59946067754781
"AB","IN",15,"1",-5.78767370229725
"IN","IN",15,"1",-5.94778425647984
"IPU","IN",15,"1",-6.93089520601482
"NB2","IN",15,"1",-11.7349682433588
"ON","IN",15,"1",-11.3794875399637
"QC","IN",15,"1",-9.47388074407619
"AB","IPU",15,"1",-7.68474978912652
"IN","IPU",15,"1",-9.93448323558135
"IPU","IPU",15,"1",-6.24324677817554
"NB2","IPU",15,"1",-9.87838385499363
"ON","IPU",15,"1",-9.27012190155468
"QC","IPU",15,"1",-8.92227217267063
"AB","NB2",15,"1",-13.8493832091297
"IN","NB2",15,"1",-9.16216199283103
"IPU","NB2",15,"1",-12.4417945889006
"NB2","NB2",15,"1",-7.05338282342847
"ON","NB2",15,"1",-7.65546036142647
"QC","NB2",15,"1",-9.15067923598277
"AB","ON",15,"1",-13.8102319013506
"IN","ON",15,"1",-10.6533530308185
"IPU","ON",15,"1",-14.2083712302729
"NB2","ON",15,"1",-12.2566815015374
"ON","ON",15,"1",-5.58307048965604
"QC","ON",15,"1",-11.2042836318011
"AB","QC",15,"1",-12.2365135365427
"IN","QC",15,"1",-9.28965283875421
"IPU","QC",15,"1",-13.5264835267182
"NB2","QC",15,"1",-10.1624322291966
"ON","QC",15,"1",-8.04187154589484
"QC","QC",15,"1",-5.05790269672843
"AB","AB",20,"1",-5.4959816458189
"IN","AB",20,"1",-6.70402210775122
"IPU","AB",20,"1",-5.75781452910571
"NB2","AB",20,"1",-5.61615198503644
"ON","AB",20,"1",-5.47368228873113
"QC","AB",20,"1",-6.17015811743849
"AB","IN",20,"1",-13.6191018543182
"IN","IN",20,"1",-7.44306750753728
"IPU","IN",20,"1",-6.28456473049939
"NB2","IN",20,"1",-8.86959037119346
"ON","IN",20,"1",-8.35273035569768
"QC","IN",20,"1",-15.450607263651
"AB","IPU",20,"1",-14.0485251933432
"IN","IPU",20,"1",-8.43813324009833
"IPU","IPU",20,"1",-3.38603479161951
"NB2","IPU",20,"1",-6.0009272948764
"ON","IPU",20,"1",-5.86426555553488
"QC","IPU",20,"1",-8.54502332523767
"AB","NB2",20,"1",-5.78137895416933
"IN","NB2",20,"1",-5.04881284089048
"IPU","NB2",20,"1",-10.3585684524813
"NB2","NB2",20,"1",-4.58042829511483
"ON","NB2",20,"1",-7.41153440030193
"QC","NB2",20,"1",-5.64186248180817
"AB","ON",20,"1",-5.78617323437862
"IN","ON",20,"1",-4.74356678816455
"IPU","ON",20,"1",-8.39249174871603
"NB2","ON",20,"1",-5.9402043032717
