"post.prov","group","elpd","prov"
"IN","1",-0.888476912795908,"AB"
"IN","10",-0.8838646339161,"AB"
"IN","2",-0.882118197706219,"AB"
"IN","3",-0.889172627310449,"AB"
"IN","4",-0.882164764563841,"AB"
"IN","5",-0.885877645158052,"AB"
"IN","6",-0.880451306209175,"AB"
"IN","7",-0.883294386960171,"AB"
"IN","8",-0.879963549719389,"AB"
"IN","9",-0.885043251845549,"AB"
"IPU","1",-0.981986978043205,"AB"
"IPU","10",-0.973406157160083,"AB"
"IPU","2",-0.980494004658706,"AB"
"IPU","3",-0.987462114725009,"AB"
"IPU","4",-0.99577353340047,"AB"
"IPU","5",-0.992987025830433,"AB"
"IPU","6",-0.980915091677635,"AB"
"IPU","7",-0.98365384180678,"AB"
"IPU","8",-0.984353348688243,"AB"
"IPU","9",-0.983505001665844,"AB"
"NB2","1",-0.901483829298895,"AB"
"NB2","10",-0.904435433876792,"AB"
"NB2","2",-0.909344395280663,"AB"
"NB2","3",-0.917272890227229,"AB"
"NB2","4",-0.907066830027779,"AB"
"NB2","5",-0.898410516936081,"AB"
"NB2","6",-0.914498299628549,"AB"
"NB2","7",-0.900975006604533,"AB"
"NB2","8",-0.904703430477844,"AB"
"NB2","9",-0.909891769056386,"AB"
"ON","1",-0.847656315404417,"AB"
"ON","10",-0.858897912558269,"AB"
"ON","2",-0.853372767051504,"AB"
"ON","3",-0.851369435669619,"AB"
"ON","4",-0.863091232130613,"AB"
"ON","5",-0.854410139167613,"AB"
"ON","6",-0.857400506342788,"AB"
"ON","7",-0.853776169288237,"AB"
"ON","8",-0.857933301028925,"AB"
"ON","9",-0.847873765185366,"AB"
"QC","1",-0.899674133444359,"AB"
"QC","10",-0.895067041866502,"AB"
"QC","2",-0.904206661820816,"AB"
"QC","3",-0.900733710073233,"AB"
"QC","4",-0.900892949255401,"AB"
"QC","5",-0.88762643912409,"AB"
"QC","6",-0.898830584126864,"AB"
"QC","7",-0.921900577636328,"AB"
"QC","8",-0.885990669134642,"AB"
"QC","9",-0.906358050856652,"AB"
"AB","1",-0.877090806010149,"IN"
"AB","10",-0.836949277120057,"IN"
"AB","2",-0.870052553132701,"IN"
"AB","3",-0.848050555744423,"IN"
"AB","4",-0.875008861817705,"IN"
"AB","5",-0.877507626986423,"IN"
"AB","6",-0.860383049047902,"IN"
"AB","7",-0.884112027667875,"IN"
"AB","8",-0.879774217879858,"IN"
"AB","9",-0.878584809207053,"IN"
"IPU","1",-0.986622556296663,"IN"
"IPU","10",-0.989764966484603,"IN"
"IPU","2",-0.987080398595644,"IN"
"IPU","3",-0.983178611980651,"IN"
"IPU","4",-0.994292648699749,"IN"
"IPU","5",-0.993884400947239,"IN"
"IPU","6",-0.986996337723439,"IN"
"IPU","7",-0.984961379857959,"IN"
"IPU","8",-0.989494952067902,"IN"
"IPU","9",-0.986080809439208,"IN"
"NB2","1",-0.828858789148633,"IN"
"NB2","10",-0.833831147452552,"IN"
"NB2","2",-0.838641415032675,"IN"
"NB2","3",-0.84282877986896,"IN"
"NB2","4",-0.832494192020993,"IN"
"NB2","5",-0.835299460190474,"IN"
"NB2","6",-0.828793410995241,"IN"
"NB2","7",-0.821627631176884,"IN"
"NB2","8",-0.834362542281226,"IN"
"NB2","9",-0.834276405463927,"IN"
"ON","1",-0.761686057701305,"IN"
"ON","10",-0.77298154609966,"IN"
"ON","2",-0.770498595226913,"IN"
"ON","3",-0.767920321477767,"IN"
"ON","4",-0.773173130870914,"IN"
"ON","5",-0.773250960117058,"IN"
