"prov.orig","prov.comp","mean","se"
"AB","AB",-1.01631552273487,0.0429016602780951
"IN","IN",-1.09729198086659,0.0245151470115338
"IPU","IPU",-0.890201839236102,0.0217594735783005
"NB2","NB2",-1.07451342912016,0.0206577072170306
"ON","ON",-0.996981238662554,0.0201977666014826
"QC","QC",-0.943944767681714,0.0156009350350442
"AB","IN",-1.57845905909629,0.0733913517049139
"AB","IPU",-1.87243472192833,0.0923396908284437
"AB","NB2",-1.8015898612041,0.0494320164616372
"AB","ON",-1.74554773988876,0.0523602787044219
"AB","QC",-1.85004965025773,0.0489646213862374
"IN","AB",-1.3025182368222,0.0241542811755257
"IN","IPU",-1.40602740327378,0.0353368755641301
"IN","NB2",-1.5011242250561,0.02372966729921
"IN","ON",-1.40909987620456,0.0267792356289961
"IN","QC",-1.4259438955962,0.0250135025666335
"IPU","AB",-1.23008169064634,0.0153741896966605
"IPU","IN",-1.20486058510059,0.0322676601107699
"IPU","NB2",-2.75501733131696,0.0477941738677327
"IPU","ON",-2.71874808384583,0.0693804515406942
"IPU","QC",-2.60881023095849,0.0591910626598346
"NB2","AB",-1.31476107196476,0.0169487481096443
"NB2","IN",-2.20379296712926,0.032840975929349
"NB2","IPU",-1.57311158559601,0.0316410656138558
"NB2","ON",-1.26196606993868,0.0176083901156183
"NB2","QC",-1.26499785491572,0.0158515553915867
"ON","AB",-1.20449496394515,0.0134117959657126
"ON","IN",-1.7641993198736,0.0290303996353225
"ON","IPU",-1.31503779273378,0.0266668224296812
"ON","NB2",-1.53411484439115,0.018570818377517
"ON","QC",-1.38093774480527,0.0151053953769107
"QC","AB",-1.18778533453257,0.0102391156893579
"QC","IN",-1.7470076603027,0.0230378044804685
"QC","IPU",-1.30073414849113,0.0211159034067511
"QC","NB2",-1.47834872826781,0.0150157862554651
"QC","ON",-1.28122132358869,0.0127584097618938
